,DeutscheMark (Euro)/Dollar,UK pound/Dollar,Swiss Franc/Dollar,Japanese Yen/Dollar
12-1a,0.348219599,0.91763201,0.318211308,0.311855308
13-1a,0.318957533,0.857489117,0.151389884,0.507788835
14-1a,0.015747827,0.32048876,0.044707834,0.001384783
15-1a,0.355154187,0.628445606,0.394777037,0.476942224
16-1a,0.227054987,0.046362276,0.178427503,0.385212613
17-1a,0.422334946,0.666673473,0.444846912,0.151736157
18-1a,0.147634891,0.128624121,0.328057039,0.159224696
19-1a,0.796191299,0.584786095,0.74490778,0.377136353
20-1a,0.767821079,0.983874643,0.679493481,0.258415809
21-1a,0.790352238,0.907689428,0.674942998,0.57164928
22-1a,0.059611732,0.039838979,0.092197417,0.196561854
23-1a,0.878833594,0.485647215,0.814437186,0.637462495
24-1a,0.599889265,0.529791991,0.450331756,0.527361589
25-1a,0.066691012,0.058633476,0.026893002,0.015166904
26-1a,0.168888127,0.594795968,0.09897938,0.44508382
27-1a,0.512594245,0.478868942,0.145421157,0.281293512
28-1a,0.100757341,0.22881831,0.034929929,0.006442548
29-1a,0.360861561,0.39551273,0.475145023,0.322450745
30-1a,0.072037522,0.155228117,0.045461265,0.125364953
31-1a,0.474902099,0.053401744,0.588333473,0.880213981
32-1a,0.027282231,0.243196174,0.186449946,0.146654088
33-1a,0.743670993,0.669281982,0.884661914,0.949539771
34-1a,0.021763257,0.025462641,0.018660125,0.185099619
35-1a,0.054464339,0.077297087,0.201859572,0.311653755
36-1a,0.146514957,0.612458674,0.328041607,0.550035884
37-1a,0.463669387,0.956004913,0.613876123,0.624684551
38-1a,0.502672051,0.985126352,0.579084174,0.220230171
39-1a,0.165060256,0.285306228,0.278481152,0.291669755
40-1a,0.149031558,0.103354738,0.316145257,0.349358971
41-1a,0.999480418,0.887273615,0.997101807,0.950640161
42-1a,0.051042859,0.520427851,0.070741402,0.1024277
43-1a,0.414541888,0.24643566,0.456292117,0.394238881
44-1a,0.97278219,0.837233931,0.988608357,0.825923438
45-1a,0.445359399,0.150412251,0.300239888,0.312674109
46-1a,0.537392721,0.210668657,0.495709808,0.461345275
47-1a,0.857683206,0.498346392,0.72312211,0.422862671
48-1a,0.072046418,0.507119175,0.035254121,0.017868988
49-1a,0.250050839,0.490899062,0.138516498,0.167297546
50-1a,0.383145859,0.122803025,0.345644339,0.166105401
51-1a,0.833922688,0.182270389,0.808505002,0.985732119
52-1a,0.298786682,0.191469766,0.378089725,0.162800712
